"Date Reported","Region","Borough/Census Area","Community","All Cases"
03/16/2020,Interior,Fairbanks North Star Borough,Fairbanks,1
03/16/2020,Interior,Fairbanks North Star Borough,North Pole,1
03/16/2020,Southeast,Petersburg Borough,Petersburg,1
03/17/2020,Anchorage,Anchorage Municipality,Anchorage,1
03/17/2020,Anchorage,Anchorage Municipality,Eagle River,1
03/17/2020,Interior,Fairbanks North Star Borough,Fairbanks,1
03/17/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,2
03/18/2020,Anchorage,Anchorage Municipality,Anchorage,2
03/18/2020,Gulf Coast,Kenai Peninsula Borough,Seward,1
03/19/2020,Interior,Fairbanks North Star Borough,Fairbanks,3
03/20/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,1
03/21/2020,Anchorage,Anchorage Municipality,Anchorage,2
03/21/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
03/21/2020,Gulf Coast,Kenai Peninsula Borough,Sterling,1
03/21/2020,Interior,Fairbanks North Star Borough,North Pole,1
03/21/2020,Southeast,Juneau City and Borough,Juneau,1
03/21/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,4
03/22/2020,Anchorage,Anchorage Municipality,Anchorage,8
03/22/2020,Anchorage,Anchorage Municipality,Eagle River,1
03/22/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,2
03/22/2020,Southeast,Juneau City and Borough,Juneau,1
03/22/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,1
03/23/2020,Anchorage,Anchorage Municipality,Anchorage,1
03/23/2020,Gulf Coast,Kenai Peninsula Borough,Sterling,1
03/23/2020,Interior,Fairbanks North Star Borough,Fairbanks,2
03/24/2020,Anchorage,Anchorage Municipality,Anchorage,3
03/24/2020,Anchorage,Anchorage Municipality,Chugiak,1
03/24/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,3
03/25/2020,Anchorage,Anchorage Municipality,Anchorage,8
03/25/2020,Anchorage,Anchorage Municipality,Eagle River,1
03/25/2020,Gulf Coast,Kenai Peninsula Borough,Homer,1
03/25/2020,Interior,Fairbanks North Star Borough,Fairbanks,2
03/25/2020,Interior,Fairbanks North Star Borough,North Pole,2
03/26/2020,Anchorage,Anchorage Municipality,Anchorage,4
03/26/2020,Anchorage,Anchorage Municipality,Eagle River,1
03/26/2020,Interior,Fairbanks North Star Borough,Fairbanks,3
03/26/2020,Interior,Fairbanks North Star Borough,North Pole,1
03/26/2020,Southeast,Juneau City and Borough,Juneau,1
03/26/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,1
03/27/2020,Anchorage,Anchorage Municipality,Anchorage,9
03/27/2020,Anchorage,Anchorage Municipality,Girdwood,1
03/27/2020,Interior,Fairbanks North Star Borough,Fairbanks,3
03/27/2020,Interior,Fairbanks North Star Borough,North Pole,2
03/27/2020,Interior,Yukon-Koyukuk Census Area,Other,1
03/27/2020,Southeast,Juneau City and Borough,Juneau,1
03/28/2020,Anchorage,Anchorage Municipality,Anchorage,13
03/28/2020,Anchorage,Anchorage Municipality,Eagle River,1
03/28/2020,Gulf Coast,Kenai Peninsula Borough,Homer,1
03/28/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
03/28/2020,Interior,Fairbanks North Star Borough,Fairbanks,1
03/28/2020,Interior,Fairbanks North Star Borough,North Pole,1
03/28/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,1
03/29/2020,Anchorage,Anchorage Municipality,Anchorage,2
03/29/2020,Gulf Coast,Kenai Peninsula Borough,Anchor Point,1
03/29/2020,Interior,Fairbanks North Star Borough,Fairbanks,4
03/29/2020,Southeast,Juneau City and Borough,Juneau,1
03/30/2020,Anchorage,Anchorage Municipality,Anchorage,2
03/30/2020,Interior,Fairbanks North Star Borough,Fairbanks,7
03/30/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
03/31/2020,Anchorage,Anchorage Municipality,Anchorage,1
03/31/2020,Anchorage,Anchorage Municipality,Chugiak,1
03/31/2020,Anchorage,Anchorage Municipality,Eagle River,1
03/31/2020,Gulf Coast,Kenai Peninsula Borough,Kenai,1
03/31/2020,Interior,Fairbanks North Star Borough,Fairbanks,2
03/31/2020,Interior,Fairbanks North Star Borough,North Pole,2
03/31/2020,Interior,Fairbanks North Star Borough,Other,1
03/31/2020,Southeast,Juneau City and Borough,Juneau,4
04/01/2020,Anchorage,Anchorage Municipality,Anchorage,2
04/01/2020,Interior,Fairbanks North Star Borough,Fairbanks,2
04/01/2020,Interior,Fairbanks North Star Borough,North Pole,1
04/01/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,1
04/01/2020,Southeast,Juneau City and Borough,Juneau,1
04/01/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,1
04/02/2020,Anchorage,Anchorage Municipality,Anchorage,7
04/02/2020,Gulf Coast,Kenai Peninsula Borough,Seward,1
04/02/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
04/02/2020,Interior,Southeast Fairbanks Census Area,Delta Junction,1
04/02/2020,Southeast,Juneau City and Borough,Juneau,1
04/03/2020,Anchorage,Anchorage Municipality,Anchorage,6
04/03/2020,Anchorage,Anchorage Municipality,Eagle River,1
04/03/2020,Interior,Fairbanks North Star Borough,Fairbanks,2
04/03/2020,Interior,Fairbanks North Star Borough,North Pole,1
04/03/2020,Southeast,Juneau City and Borough,Juneau,1
04/04/2020,Anchorage,Anchorage Municipality,Anchorage,4
04/04/2020,Gulf Coast,Kenai Peninsula Borough,Seward,1
04/04/2020,Interior,Fairbanks North Star Borough,Fairbanks,7
04/04/2020,Southeast,Juneau City and Borough,Juneau,2
04/05/2020,Anchorage,Anchorage Municipality,Anchorage,2
04/05/2020,Anchorage,Anchorage Municipality,Chugiak,1
04/05/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
04/05/2020,Interior,Fairbanks North Star Borough,Fairbanks,1
04/05/2020,Southeast,Petersburg Borough,Petersburg,1
04/06/2020,Anchorage,Anchorage Municipality,Anchorage,10
04/06/2020,Interior,Fairbanks North Star Borough,Fairbanks,9
04/06/2020,Interior,Fairbanks North Star Borough,North Pole,2
04/06/2020,Southwest,Bethel Census Area,Bethel,1
04/07/2020,Anchorage,Anchorage Municipality,Anchorage,6
04/07/2020,Interior,Fairbanks North Star Borough,Fairbanks,5
04/07/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
04/07/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,1
04/08/2020,Anchorage,Anchorage Municipality,Anchorage,5
04/08/2020,Gulf Coast,Kenai Peninsula Borough,Kenai,1
04/08/2020,Interior,Fairbanks North Star Borough,Fairbanks,2
04/08/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,1
04/09/2020,Anchorage,Anchorage Municipality,Anchorage,3
04/09/2020,Gulf Coast,Kenai Peninsula Borough,Kenai,1
04/09/2020,Interior,Fairbanks North Star Borough,Fairbanks,3
04/09/2020,Interior,Fairbanks North Star Borough,North Pole,1
