Date,Bread,Chicken,Eggs,Unleaded regular gasoline,Electricity,Utility  gas service,Day care and preschool,College tuition and fees,Educational books and supplies,Parking fees and tolls,Airline fares,Motor vehicle insurance,Prescription drugs,Nonprescription drugs,Medical equipment and supplies,Recorded music and music subscriptions,Cable and satellite television service,Rental of video discs and other media,Recreational books,Outdoor equipment and supplies,Indoor plants and flowers,Household cleaning products,Rent of primary residence,All items,India All items
2019-January,182.471,149.588,218.796,195.946,210.92,180.106,298.69,858.041,686.211,236.509,248.433,572.95,525.103,96.59,101.924,82.799,475.061,129.37,97.419,86.094,130.166,120.03,325.597,251.712,117.1
2019-Febuary,183.233,150.587,218.185,201.919,210.939,174.95,299.732,858.687,692.467,237.125,259.049,574.447,522.971,95.867,101.295,83.052,477.965,129.457,96.293,87.273,134.126,120.191,326.351,252.776,117.35
2019-March,183.085,149.637,216.25,220.853,210.937,174.089,300.186,860.066,689.515,237.45,259.698,573.087,526.097,95.966,99.755,83.238,479.506,132.573,95.684,87.154,133.528,121.192,327.513,254.202,117.77
2019-April,184.384,150.926,208.727,243.787,210.525,171.004,300.278,860.065,688.736,238.223,268.767,570.492,528.008,96.442,101.789,83.171,477.678,134.836,96.138,86.539,130.462,121.315,328.678,255.548,118.44
2019-May,184.131,150.567,198.552,249.647,212.326,168.826,301.85,859.922,683.088,239.304,283.275,568.301,526.439,97.048,103.438,83.998,476.355,133.271,94.951,85.853,132.066,121.241,329.333,256.092,119.11
2019-June,182.206,150.442,191.161,237.023,217.947,168.628,303.008,859.798,686.251,239.5,283.001,569.079,522.957,97.37,104.034,84.408,475.287,136.189,93.414,85.628,133.429,121.075,330.648,256.143,119.86
2019-July,183.514,149.39,192.124,239.252,219.083,167.074,303.632,859.365,683.624,239.978,268.314,569.011,524.829,97.411,102.009,83.689,475.86,136.848,94.601,86.38,132.499,120.929,331.605,256.571,120.95
2019-August,182.235,149.255,187.986,228.686,217.811,167.803,304.401,868.32,694.264,238.821,259.849,568.972,526.629,99,102.003,82.332,478.811,136.848,95.032,87.022,130.853,120.55,332.638,256.558,121.63
2019-September,185.084,147.686,202.825,226.347,216.938,165.562,306.478,873.995,681.853,240.326,263.149,569.106,522.518,98.163,101.577,79.378,480.344,137.675,93.871,87.499,131.222,120.589,333.834,256.759,122.3
2019-October,185.162,149.301,198.374,229.656,212.829,169.138,306.811,876.145,676.964,239.837,269.871,571.975,529.635,98.046,102.459,80.003,482.189,137.535,96.465,87.287,131.393,120.419,334.68,257.346,123.47
